id,country
1,UK
2,China
3,Japan
4,Spain
5,Sweden
6,Turkey
7,US (Asian)
8,US (Black)
9,US (Caucasian)
10,US (Hispanic)
11,Italy
12,France
13,Russia
14,Germany
15,Switzerland
16,Austria
17,Argentina
18,Belgium
19,Canada
20,Hong Kong
21,Lebanon
22,Finland
23,New Zealand
24,Mexico
25,South Korea
26,Taiwan
27,Hungary
28,Colombia
29,Denmark
30,Netherlands
31,Australia
32,Jordan
33,Philippines
34,Malta
35,Singapore (Chinese)
36.Singapore (Malay)
37,Singapore (Indian)
38,Tunisia
39,Czech Republic
40,Poland
41,Romania
42,Norway
43,Ecuador
44,Slovakia
45,Sri Lanka
46,Indonesia
47,Lithuania
48,Ireland
49,Greece
50,Chile
51,India
52,Palestine
53,Portugal
54,Morocco
55,Brazil
56,Iceland
57,Thailand
58,Armenia
59,Venezuela
60,Croatia
61,Israel
62,Estonia
63,Kuwait
64,Moldova
65,Belarus
66,Ukraine
67,Abu Dhabi
68,Iran
69,Georgia
70,Serbia
71,Syria
72,Kazakhstan
73,Bulgaria
74,Kyrgyzstan
75,Pakistan
76,South Africa (White)
77,South Africa (Indian)
78,South Africa (Coloured)
79,South Africa (African)
80,Uzbekistan
81,Zimbabwe
82,Botswana
83,Ethiopia
84,Saudi Arabia
85,Qatar
86,Nepal
87,Malaysia - Chinese
88,Malaysia - Bumiputera
89,Malaysia - Indian
90,Peru
91,Myanmar
92,Bangladesh
93,Brunei
94,Egypt
96,Costa Rica
